Open,High,Low,Close,Volume,Future_Close,Pct_Change,Target
46577.16,46740.96,46412.99,46472.73,662.25,46100.14,-0.8017389983330089,C
46475.6,46645.34,46360.0,46360.01,661.7066,46151.66,-0.4494175044397068,C
46360.01,46413.47,45696.0,45922.0,3127.50381,46367.53,0.9701885806367293,C
45922.01,46260.44,45811.87,45979.01,1055.66747,46550.0,1.2418492699168555,C
45979.01,46439.97,45961.59,46217.9,1002.70049,46489.73,0.5881487475631773,C
46217.91,46576.94,46170.64,46446.1,1055.33575,46356.21,-0.19353616342383842,C
46446.1,46549.19,46150.0,46244.37,1055.75335,46625.37,0.8238840749695584,C
46244.37,46404.94,46040.79,46054.99,771.65428,46733.77,1.4738468079137546,C
46054.99,46268.72,45934.5,46103.36,1021.46917,46641.53,1.1673118835590253,C
46103.36,46383.77,46001.23,46313.97,755.88587,46955.22,1.38457143708475,C
46313.96,46411.12,45996.26,46100.14,2070.6589,47333.38,2.675132873783025,D
46100.14,46292.15,46016.24,46151.66,869.60169,46925.35,1.6764077391799015,C
46148.23,46390.04,46058.51,46367.53,1240.05303,46767.27,0.8621119132289298,C
46367.53,46600.21,46322.09,46550.0,1554.0381,46555.01,0.010762620837813184,C
46549.99,46682.06,46385.61,46489.73,1316.31063,45750.0,-1.591168630146923,C
46489.72,46599.53,46300.0,46356.21,856.18802,46052.36,-0.6554677356065101,C
46356.21,46772.41,46300.0,46625.37,1162.38531,46264.92,-0.7730769750459983,C
46625.37,46765.05,46616.46,46733.77,1351.64824,46221.89,-1.095310735684276,C
46733.78,46763.0,46479.25,46641.53,897.32283,46159.91,-1.0325990592504048,C
46641.52,47069.01,46410.0,46955.22,1511.87787,45832.01,-2.3920876102806012,B
46955.22,47500.1,46805.54,47333.38,3051.43768,46271.57,-2.243258351717113,B
47336.98,47557.54,46850.05,46925.35,2605.26496,46111.5,-1.7343504097465414,C
46925.34,46925.35,46650.0,46767.27,1774.71297,46296.95,-1.0056605827109424,C
46767.28,46984.99,46522.91,46555.01,782.53703,46422.55,-0.28452362055125563,C
46555.0,46719.78,45500.0,45750.0,4580.4104099999995,46414.47,1.4523934426229532,C
45750.01,46454.86,45580.99,46052.36,2717.79608,46302.8,0.5438157783879096,C
46052.35,46428.27,45957.52,46264.92,1111.32358,46450.0,0.40004392096647257,C
46264.92,46322.89,46026.75,46221.89,713.51555,46407.51,0.4015846171586722,C
46221.89,46262.39,45977.78,46159.91,671.3149999999999,46642.07,1.0445427644897838,C
46159.91,46159.91,45760.05,45832.01,1048.25305,46858.94,2.240639238820205,D
45832.01,46298.56,45722.21,46271.57,1006.79621,46818.5,1.1820000920651714,C
46271.56,46333.22,46111.5,46111.5,726.20925,46270.99,0.34587901065894183,C
46111.5,46390.15,46111.5,46296.95,639.23432,46229.99,-0.14463155780240197,C
46296.96,46549.0,46296.95,46422.55,662.4009100000001,46440.01,0.03761103170764882,C
46422.56,46527.39,46350.65,46414.47,508.72042,46689.52,0.5925953695043715,C
46419.0,46419.0,46246.01,46302.8,494.64292,46622.53,0.6905197957790801,C
46302.79,46466.65,46251.1,46450.0,608.83518,46301.62,-0.3194402583422979,C
46450.0,46490.2,46333.78,46407.51,572.8358,46010.72,-0.8550124753515128,C
46407.5,46681.61,46250.49,46642.07,961.44434,45919.92,-1.5482803400449454,C
46636.78,46949.0,46575.01,46858.94,1536.64847,44685.93,-4.637343482374979,B
46858.93,47070.0,46697.79,46818.5,1629.77569,43967.01,-6.090519773166586,A
46818.5,46869.25,46110.0,46270.99,1495.93677,43606.37,-5.758727012324559,A
46271.0,46348.2,45803.67,46229.99,1882.06245,43437.05,-6.041402994030488,A
46229.99,46466.66,46112.59,46440.01,1021.81875,43451.13,-6.436002059431091,A
46440.0,46822.17,46150.35,46689.52,1923.9871699999999,43680.94,-6.443801521197893,A
46689.52,46822.16,46368.63,46622.53,1228.3942,43542.69,-6.605904913354116,A
46622.53,46674.37,46282.05,46301.62,1014.13701,43259.54,-6.5701372867731225,A
46301.62,46469.66,46001.0,46010.72,1192.45603,42835.0,-6.9021306339044495,A
46010.72,46365.68,45550.0,45919.92,3668.50105,43029.73,-6.29397873515458,A
45919.93,46118.85,44500.0,44685.93,7383.66525,43050.01,-3.6609286189187475,B
44685.93,44847.99,43722.54,43967.01,8054.81116,43102.28,-1.9667700851160974,C
43967.01,44331.42,43422.54,43606.37,3844.19955,43245.25,-0.8281358893207633,C
43602.49,43815.2,42500.0,43437.05,6856.6407,43055.41,-0.8786047855459783,C
43437.04,43709.12,43212.0,43451.13,2869.96497,42597.87,-1.9637233830282315,C
43451.14,43772.41,43261.62,43680.94,2221.24911,42878.88,-1.8361784338890255,C
43680.94,43816.0,43306.48,43542.69,1908.16444,42878.34,-1.5257440456710547,C
43542.69,43618.34,43150.05,43259.54,1450.03547,43062.76,-0.4548823219109562,C
43259.55,43310.69,42803.37,42835.0,2327.84721,43150.01,0.7354032917007168,C
42835.0,43159.17,42600.05,43029.73,3057.2784,42805.5,-0.5211048268255534,C
43029.73,43246.37,42800.0,43050.01,1649.15193,42950.01,-0.23228798320836627,C
43050.0,43231.85,42902.65,43102.28,1265.54726,42882.22,-0.5105530380295373,C
43102.28,43275.8,42987.73,43245.25,1176.4133199999999,43005.29,-0.5548817500187861,C
43245.26,43273.87,42900.0,43055.41,1527.52833,43369.04,0.7284334303168809,C
43055.42,43089.86,42430.58,42597.87,2907.67194,43438.1,1.9724695154945442,C
42597.87,42960.0,42568.22,42878.88,1969.46675,43221.5,0.799041392872208,C
42878.87,42974.21,42677.28,42878.34,1347.12718,43120.64,0.565087174550141,C
42878.33,43077.0,42632.44,43062.76,1642.32739,43180.97,0.27450632518677187,C
43062.77,43200.0,42900.0,43150.01,1886.14994,43082.31,-0.15689451752155878,C
43150.0,43267.09,42761.9,42805.5,2175.95621,42788.15,-0.04053217460372743,C
42805.5,43019.71,42666.0,42950.01,1709.80241,43008.9,0.13711289007848756,C
42950.02,43131.76,42725.09,42882.22,1684.4855499999999,42799.13,-0.19376328930732545,C
